Name,Storage device type,Serial number
sda,SATA,YJUVWOLX9NVBDBT
sdb,SATA,DVZN508A04J9FY3
sdc,SATA,YKVL6QF3G0KS475
sdd,SATA,AM03LTQZJJCXEU7
sde,SATA,WEZF9U6L6Z0EBES
sdf,SATA,857E8NR8576M
sdg,SATA,EQT6FUEWPFWK
sdh,SATA,HJSAPO0Z7HQ4
sdi,SATA,ET5QMRQTRHDX
sdj,SATA,JP1ICH9UE9XR
sdk,SATA,938HUI8O0MTZ
sdl,SATA,ZIX8620FN0VS
sdm,SATA,JZ1VF24H1M5J
sdn,SATA,4XFK605F3OMH
sdo,SATA,L8AD04F7818K
sdp,SATA,SKRX0B9YLDJ6
sdq,SATA,UTHL9IE30NT5
sdr,SATA,WKYJURN90S87
sds,SATA,QO6EPIE1AIGL
sdt,SATA,KQ01YBPGWR1E
sdu,SATA,LKXLG49AV4KA
sdv,SATA,HJ0AWJQ0OB06
sdw,SATA,1NCYZM1X5BS1
sdx,SATA,PSVROJ7H0NIL
